datetime,date,time,open,high,low,close,tickvol,vol,spread,bb_middle,bb_upper,bb_lower,bb_bandwidth,bb_position,kc_middle,kc_atr,kc_upper,kc_lower,kc_position,kc_width_pct
2024-01-03 01:00:00,2024.01.03,01:00:00,2059.16,2059.43,2058.67,2058.92,461,0,5,2060.8975,2064.941091843896,2056.853908156104,0.003924107670465065,0.2554772988543553,2060.86819575844,1.6282890665619723,2063.3106293582828,2058.425762158597,0.10117733424458154,0.23702957858922946
2024-01-03 01:15:00,2024.01.03,01:15:00,2058.9,2059.52,2058.63,2059.28,460,0,5,2060.661,2064.4967054110066,2056.8252945889935,0.0037227912897915077,0.31998096151530714,2060.703923146525,1.5544601599057624,2063.035613386384,2058.3722329066663,0.19465859525767298,0.22630036403273748
2024-01-03 01:30:00,2024.01.03,01:30:00,2059.28,2059.61,2058.65,2059.42,584,0,4,2060.405,2063.832707688825,2056.9772923111755,0.003327217405145822,0.35631796970151575,2060.5632320532054,1.4950141439151898,2062.805753269078,2058.3207108373326,0.24510117337721715,0.21766099491528548
2024-01-03 01:45:00,2024.01.03,01:45:00,2059.42,2060.08,2059.02,2059.54,1441,0,4,2060.2504999999996,2063.5388459367937,2056.9621540632056,0.0031921806953028584,0.39196696247044116,2060.4664163021066,1.4515127295236654,2062.643685396392,2058.2891472078213,0.2872526862806664,0.21133749883609468
2024-01-03 02:00:00,2024.01.03,02:00:00,2059.54,2061.09,2059.2,2060.98,979,0,4,2060.168,2063.2921037114716,2057.0438962885287,0.0030328630591985066,0.6299572733482415,2060.4623131622234,1.4953614565713316,2062.7053553470805,2058.2192709773663,0.6153983730826735,0.2177222238454534
2024-01-03 02:15:00,2024.01.03,02:15:00,2060.96,2062.12,2060.34,2062.08,865,0,4,2060.0475,2062.6353862030683,2057.459613796932,0.002512452943990988,0.8926950106210457,2060.562410321377,1.523825310914173,2062.8481482877482,2058.2766723550053,0.8319693029013894,0.22185573753283938
2024-01-03 02:30:00,2024.01.03,02:30:00,2062.1,2062.18,2059.88,2060.33,1728,0,20,2059.986,2062.4840904707453,2057.4879095292545,0.002425347037062786,0.5688525904142703,2060.5847204495,1.6014427798227284,2062.986884619234,2058.182556279766,0.4469810488580958,0.23315364283688034
2024-01-03 02:45:00,2024.01.03,02:45:00,2060.31,2060.87,2059.95,2060.02,917,0,4,2059.9305,2062.373166371003,2057.4878336289967,0.002371600761290995,0.5183201441388993,2060.5556994543094,1.5332985018404628,2062.85564720707,2058.255751701549,0.3835409513832498,0.2232356789355059
2024-01-03 03:00:00,2024.01.03,03:00:00,2060.05,2062.18,2059.95,2062.08,1547,0,20,2059.95,2062.453996805116,2057.446003194884,0.00243112386719678,0.9253200314889044,2060.636426490407,1.6029686516564183,2063.0408794678915,2058.231973512922,0.8001875110702376,0.23336993819718307
2024-01-03 03:15:00,2024.01.03,03:15:00,2062.07,2062.07,2059.46,2061.15,2088,0,20,2059.928,2062.381190575563,2057.474809424437,0.002381821671012759,0.7490634058708973,2060.6608938087807,1.7046717864907657,2063.217901488517,2058.1038861290444,0.5956403445901834,0.248173553195356
2024-01-03 03:30:00,2024.01.03,03:30:00,2061.19,2062.1,2060.93,2061.33,1936,0,20,2059.9049999999997,2062.2957613850044,2057.514238614995,0.002321234605483923,0.7980222135379254,2060.7363642396904,1.6512046078416964,2063.213171151453,2058.2595573279277,0.6198389259756798,0.24038076434648348
2024-01-03 03:45:00,2024.01.03,03:45:00,2061.33,2062.61,2061.09,2062.42,1400,0,20,2059.9824999999996,2062.5845213296643,2057.380478670335,0.0025262557615559306,0.9683858606790436,2060.8605200263864,1.638084147057525,2063.317646246973,2058.4033938058,0.817338189741324,0.238456333818739
2024-01-03 04:00:00,2024.01.03,04:00:00,2062.4,2064.1,2061.47,2064.0,1528,0,20,2060.142,2063.2660781040217,2057.017921895978,0.003032876475526366,1.1174621554809097,2061.0823752619685,1.7372757323517836,2063.6882888604964,2058.4764616634407,1.0598084179920004,0.2528684568656951
2024-01-03 04:15:00,2024.01.03,04:15:00,2064.02,2064.39,2062.62,2064.11,1699,0,20,2060.365,2063.923305776634,2056.8066942233654,0.0034540537978798615,1.0262335834924452,2061.332307776702,1.7405481591166034,2063.9431300153765,2058.721485538027,1.0319573623496388,0.2533140560427798
2024-01-03 04:30:00,2024.01.03,04:30:00,2064.09,2065.12,2063.35,2064.55,1293,0,20,2060.6445,2064.576051729283,2056.712948270717,0.0038158466725172644,0.996686838800993,2061.618754655111,1.7434933432049413,2064.2339946699185,2059.0035146403034,1.0604161240062955,0.2537074334333045
2024-01-03 04:45:00,2024.01.03,04:45:00,2064.56,2065.18,2063.87,2064.71,1239,0,20,2060.973,2065.105384783636,2056.840615216364,0.004010129956710833,0.9521602168798863,2061.9014129419256,1.7001440088844417,2064.451628955252,2059.351196928599,1.0506566979812293,0.2473654654213373
2024-01-03 05:00:00,2024.01.03,05:00:00,2064.69,2065.64,2063.48,2063.68,1258,0,20,2061.2185,2065.3814858275073,2057.0555141724926,0.004039344521221139,0.7956411698227857,2062.1266752014244,1.7461296079959832,2064.7458696134186,2059.5074807894302,0.7965272053617408,0.2540284691034629
2024-01-03 05:15:00,2024.01.03,05:15:00,2063.68,2064.02,2063.16,2063.61,1182,0,20,2061.48,2065.5530038055504,2057.4069961944497,0.003951533660816834,0.7614777817169636,2062.26667438859,1.6575166471963976,2064.7529493593847,2059.7803994177957,0.770148239271507,0.2411206078895329
2024-01-03 05:30:00,2024.01.03,05:30:00,2063.62,2065.31,2063.29,2065.08,899,0,20,2061.8100000000004,2065.9265228045074,2057.6934771954934,0.003993115567881604,0.8971798718592496,2062.4850863515817,1.693764982476756,2065.025733825297,2059.9444388778666,1.0106795955095187,0.24636759708254527
2024-01-03 05:45:00,2024.01.03,05:45:00,2065.08,2065.33,2064.4,2065.1,698,0,4,2062.1195,2066.248109814456,2057.990890185544,0.004004239147591605,0.8609568515731526,2062.7192051117486,1.617388484229064,2065.1452878380924,2060.293122385405,0.990666468706796,0.23523150609463195
2024-01-03 06:00:00,2024.01.03,06:00:00,2065.05,2065.08,2064.32,2064.7,578,0,4,2062.4085,2066.407971340068,2058.409028659932,0.0038784473008794183,0.7864753620113352,2062.907852243963,1.5336496358061322,2065.2083266976724,2060.607377790254,0.8895169870604355,0.22303220681494854
2024-01-03 06:15:00,2024.01.03,06:15:00,2064.72,2065.21,2064.54,2065.1,413,0,4,2062.6995,2066.5915918540068,2058.8074081459936,0.003773784648715524,0.808381725052123,2063.1023425064427,1.4472846722255264,2065.273269514781,2060.9314154981043,0.9600931965663394,0.2104526725223848
2024-01-03 06:30:00,2024.01.03,06:30:00,2065.07,2065.6,2064.73,2065.0,574,0,4,2062.9785,2066.685850941039,2059.2711490589613,0.00359417312496358,0.7726340225338078,2063.29354798202,1.3895562050029628,2065.377882289524,2061.2092136745155,0.9093518040355364,0.20203953136410827
2024-01-03 06:45:00,2024.01.03,06:45:00,2065.0,2065.09,2064.37,2064.77,545,0,20,2063.2400000000002,2066.6675588981116,2059.812441101889,0.0033225014037255272,0.7231909130493445,2063.431622777383,1.322600584502692,2065.415523654137,2061.447721900629,0.8373094992545401,0.19229140959695518
